Kurzform;Bezeichnung;Art
BF1G26;Berufsfachschule 1 – Gesundheit;V
BF1H26;Berufsfachschule 1 – Hauswirtschaft;V
BF1T26;Berufsfachschule 1 – Technik;V
BF1W26;Berufsfachschule 1 – Wirtschaft;V
BF2GW26;Berufsfachschule 2 – Gesundheit;V
BF2H26;Berufsfachschule 2 – Hauswirtschaft;V
BSAK26;Automobilkaufleute;T
BSBA26;Bankkaufleute;T
BSBM26;Kaufleute;T
BSEEG26;Elektroinstallateure;T
BSEK26;Einzelhandelskaufleute;T
BSEK26A;Einzelhandelskaufleute;T
BSFR26+;Friseurinnen;T
BSIMO26;Immobilienkaufleute;T
BSIT26;KFZ-Mechatroniker;T
BSKM26;Land-und Baumaschinen;T
BSLBM26A;Land-und Baumaschinen;T
BSLBM26B;Land-und Baumaschinen;T
BSML26;Maler;T
BSMT26;Metalltechnik;T
BSSF26;Steuerfachangestellte;T
BSIT26;IT-Kaufleute / IT-Systemelektroniker;T
BSTI26;Tischler;T
BSZFM26+;Zweiradmechaniker;T
BVJE26;Berufsvorbereitungsjahr – Ernährung;V
BVJI26;Berufsvorbereitungsjahr – Inklusion;V
BVJS26;Berufsvorbereitungsjahr – Sprachförderung;V
BVJT26A;Berufsvorbereitungsjahr – Technik;V
BVJW26;Berufsvorbereitungsjahr – Wirtschaft;V
DBOS26+;Duale Berufsoberschule;V
HBF26B;Höhere Berufsfachschule;V
